link,pubDate,guid,title,description
https://foursquare.com/bill_felix/checkin/530fc5fd498eb4ee1c6683ca,"Thu, 27 Feb 14 23:10:53 +0000",,"The Brandery","@ The Brandery - #opendatacincy"
https://foursquare.com/bill_felix/checkin/52eae1c011d22f6a32696b42,"Thu, 30 Jan 14 23:35:28 +0000",,"The Brandery","@ The Brandery - Great showing for #opendatacincy!"
https://foursquare.com/bill_felix/checkin/52a3e1ee498e489aa3318c1e,"Sun, 08 Dec 13 03:05:18 +0000",,"Stone Bowling Lanes","@ Stone Bowling Lanes - still got it..."
https://foursquare.com/bill_felix/checkin/52891de9498e1d5602097e6e,"Sun, 17 Nov 13 19:50:01 +0000",,"21c Museum Hotel","@ 21c Museum Hotel - flea bitten. w/ @sarahobug"
https://foursquare.com/bill_felix/checkin/527ac2b3498e3e3a06948f2d,"Wed, 06 Nov 13 22:29:07 +0000",,"A Tavola","@ A Tavola - here w/ @sarahobug."
https://foursquare.com/bill_felix/checkin/52753fd911d21b4a8fe16cbf,"Sat, 02 Nov 13 18:09:29 +0000",,Mayday,"@ Mayday - 1st timer! Weekend."
https://foursquare.com/bill_felix/checkin/527432ba11d28ea681329732,"Fri, 01 Nov 13 23:01:14 +0000",,"Kungfood Chu's AmerAsia","@ Kungfood Chu's AmerAsia - 1st timer!"
https://foursquare.com/bill_felix/checkin/52669a04498ef61c2d7fb25d,"Tue, 22 Oct 13 15:30:12 +0000",,"United Way of Greater Cincinnati","@ United Way of Greater Cincinnati - yoga session w/ @yogimija of world peace yoga."
https://foursquare.com/bill_felix/checkin/5265a1f7498e5f0f794d4a5e,"Mon, 21 Oct 13 21:51:51 +0000",,"Mercantile Library","@ Mercantile Library - Scott Belsky #2035 Lecture Series"
https://foursquare.com/bill_felix/checkin/52630ad1498e99801a862a98,"Sat, 19 Oct 13 22:42:25 +0000",,"Maple Ridge Lodge @ Mt. Airy Forest","@ Maple Ridge Lodge @ Mt. Airy Forest - #paszt #"
https://foursquare.com/bill_felix/checkin/5262ed2711d23296abe73585,"Sat, 19 Oct 13 20:35:51 +0000",,"Listing Loon","@ Listing Loon - #taptakeover #moerlein #helltown"
https://foursquare.com/bill_felix/checkin/5262be0a11d282d546010d11,"Sat, 19 Oct 13 17:14:50 +0000",,"Washington Park","@ Washington Park - maker hilarity. #makermayhem"
https://foursquare.com/bill_felix/checkin/5262b1a011d23dd755332c47,"Sat, 19 Oct 13 16:21:52 +0000",,"American Can Factory","@ American Can Factory - 513 #cityflea"
https://foursquare.com/bill_felix/checkin/5261dfa9498e2c4eb7bd94a2,"Sat, 19 Oct 13 01:26:01 +0000",,"Queen City Is Haunted","@ Queen City Is Haunted - i'm scared! #thisisotr"
https://foursquare.com/bill_felix/checkin/5258680b11d2db0e7f595b29,"Fri, 11 Oct 13 21:05:15 +0000",,"Hofbräuhaus Newport","@ Hofbräuhaus Newport"
https://foursquare.com/bill_felix/checkin/525601f711d21b1a3efb979f,"Thu, 10 Oct 13 01:25:11 +0000",,"Django Western Taco","@ Django Western Taco - #pick6 kind o' night."
https://foursquare.com/bill_felix/checkin/525491cd11d2f55462cc2e73,"Tue, 08 Oct 13 23:14:21 +0000",,"Rhinegeist Brewery","@ Rhinegeist Brewery - public pitch night #brandery #cincystartup"
https://foursquare.com/bill_felix/checkin/52546cdc11d2171f9a031db9,"Tue, 08 Oct 13 20:36:44 +0000",,Wordplay,"@ Wordplay - Author talk! #greatquestions"
https://foursquare.com/bill_felix/checkin/52462042498ee33c0e4010be,"Sat, 28 Sep 13 00:18:10 +0000",,"Midpoint Music Festival","@ Midpoint Music Festival - round 2  #mpmf everlasting"
https://foursquare.com/bill_felix/checkin/5244d94411d2f3d586cf6e0e,"Fri, 27 Sep 13 01:03:00 +0000",,"Midpoint Music Festival","@ Midpoint Music Festival - #mpmf has finally started. Happy Meter 7.5/10."
https://foursquare.com/bill_felix/checkin/52379b3b498ef04b7a05a37a,"Mon, 16 Sep 13 23:58:51 +0000",,"Great American Ball Park","@ Great American Ball Park - @foxy_shazam in front of gabp."
https://foursquare.com/bill_felix/checkin/5236fa1911d2db10be22f883,"Mon, 16 Sep 13 12:31:21 +0000",,"Metro Rt. 17/19/51 Bus Stop","@ Metro Rt. 17/19/51 Bus Stop"
https://foursquare.com/bill_felix/checkin/5233aca8498e2b208ecf485f,"Sat, 14 Sep 13 00:24:08 +0000",,"Jack Fry's","@ Jack Fry's"
https://foursquare.com/bill_felix/checkin/5231b6cc498e480463da6ec0,"Thu, 12 Sep 13 12:42:52 +0000",,"Horseshoe Casino Cincinnati","@ Horseshoe Casino Cincinnati - #D2Cincy!"
https://foursquare.com/bill_felix/checkin/522f81a511d21cc419418512,"Tue, 10 Sep 13 20:31:33 +0000",,Wordplay,"@ Wordplay - why not make a difference? #tutor"
